Key;Attribute;DefaultLanguage;de-DE
ENUM_PAT_RTR_MANVERSCHWANN.KSN;Text;bei Komfort-, Standby- und Nachtbetrieb;bei Komfort-, Standby- und Nachtbetrieb
ENUM_PAT_RTR_MANVERSCHWANN.KS;Text;bei Komfort und Standby;bei Komfort und Standby
ENUM_PAT_RTR_MANVERSCHWANN.K;Text;nur bei Komfort;nur bei Komfort
ENUM_PAT_RTR_MANVERSCHNACHT.NEIN;Text;Nicht ändern;Nicht ändern
ENUM_PAT_RTR_MANVERSCHNACHT.0K;Text;Auf 0 K zurücksetzen;Auf 0 K zurücksetzen
ENUM_PAT_RTR_SRC_ISTW_EXT.INT;Text;Interner Fühler;Interner Fühler
ENUM_PAT_RTR_SRC_ISTW_EXT.OBJ;Text;Objekt Externer Istwert;Objekt Externer Istwert
ENUM_PAT_RTR_SRC_ISTW_EXT.I3;Text;Fühler an I3;Fühler an I3
ENUM_PAT_RTR_SRC_ISTW_EXT.INI3;Text;Mittelwert aus intern + I3;Mittelwert aus intern + I3
ENUM_PAT_RTR_SRC_ISTW_EXT.I3O;Text;Mittelwert aus I3 + Obj. Ext. Istwert;Mittelwert aus I3 + Obj. Ext. Istwert
ENUM_PAT_RTR_SRC_ISTW_EXT.INO;Text;Mittelwert aus intern + Obj. Ext. Istwert;Mittelwert aus intern + Obj. Ext. Istwert
ENUM_PAT_RTR_SRC_ISTW_EXT.MINI3O;Text;Mittelwert aus intern + I3 + Obj. Ext. Istwert;Mittelwert aus intern + I3 + Obj. Ext. Istwert
ENUM_PAT_RTR_SRC_ISTW.INT;Text;Interner Fühler;Interner Fühler
ENUM_PAT_RTR_SRC_ISTW.OBJ;Text;Objekt Externer Istwert;Objekt Externer Istwert
ENUM_PAT_RTR_SRC_ISTW.INO;Text;Mittelwert aus intern + Obj. Ext. Istwert;Mittelwert aus intern + Obj. Ext. Istwert
ENUM_PAT_RTR_ISTWFEHLER_SENDEN.IMMER;Text;immer zyklisch;immer zyklisch
ENUM_PAT_RTR_ISTWFEHLER_SENDEN.BEIFEHLER;Text;nur im Fehlerfall zyklisch senden;nur im Fehlerfall zyklisch senden
ENUM_PAT_RTR_TIMEOUT.2;Text;2 min;2 min
ENUM_PAT_RTR_TIMEOUT.3;Text;3 min;3 min
ENUM_PAT_RTR_TIMEOUT.5;Text;5 min;5 min
ENUM_PAT_RTR_TIMEOUT.10;Text;10 min;10 min
ENUM_PAT_RTR_TIMEOUT.15;Text;15 min;15 min
ENUM_PAT_RTR_TIMEOUT.20;Text;20 min;20 min
ENUM_PAT_RTR_TIMEOUT.30;Text;30 min;30 min
ENUM_PAT_RTR_TIMEOUT.45;Text;45 min;45 min
ENUM_PAT_RTR_TIMEOUT.60;Text;60 min;60 min
ENUM_PAT_RTR_TIMEOUT_REAKTION.AUS;Text;bei PI-Regler: 0%, bei 2-Punktregler: Aus;bei PI-Regler: 0%, bei 2-Punktregler: Aus
ENUM_PAT_RTR_TIMEOUT_REAKTION.10;Text;bei PI-Regler: 10%, bei 2-Punktregler: Ein;bei PI-Regler: 10%, bei 2-Punktregler: Ein
ENUM_PAT_RTR_TIMEOUT_REAKTION.20;Text;bei PI-Regler: 20%, bei 2-Punktregler: Ein;bei PI-Regler: 20%, bei 2-Punktregler: Ein
ENUM_PAT_RTR_TIMEOUT_REAKTION.30;Text;bei PI-Regler: 30%, bei 2-Punktregler: Ein;bei PI-Regler: 30%, bei 2-Punktregler: Ein
ENUM_PAT_RTR_TIMEOUT_REAKTION.50;Text;bei PI-Regler: 50%, bei 2-Punktregler: Ein;bei PI-Regler: 50%, bei 2-Punktregler: Ein
ENUM_PAT_RTR_BETRARTRST.FROST;Text;Frostschutz;Frostschutz
ENUM_PAT_RTR_BETRARTRST.NACHT;Text;Nachtabsenkung;Nachtabsenkung
ENUM_PAT_RTR_BETRARTRST.STDB;Text;Standby;Standby
ENUM_PAT_RTR_BETRARTRST.KOMF;Text;Komfort;Komfort
ENUM_PAT_RTR_OBJBETRART.NEU;Text;Neu: Betriebsart, Präsenz, Fensterstatus;Neu: Betriebsart, Präsenz, Fensterstatus
ENUM_PAT_RTR_OBJBETRART.ALT;Text;Alt: Komfort, Nacht, Frost;Alt: Komfort, Nacht, Frost
ENUM_PAT_RTR_RADPRES.PNICHT;Text;Präsenzobjekt nicht setzen;Präsenzobjekt nicht setzen
ENUM_PAT_RTR_RADPRES.PSETZ;Text;Präsenzobjekt setzen;Präsenzobjekt setzen
ENUM_PAT_RTR_ARTPRESSENS.MELD;Text;Präsenzmelder;Präsenzmelder
ENUM_PAT_RTR_ARTPRESSENS.TAST;Text;Präsenztaster;Präsenztaster
ENUM_PAT_RTR_BASSOLRST.18;Text;18 °C;18 °C
ENUM_PAT_RTR_BASSOLRST.19;Text;19 °C;19 °C
ENUM_PAT_RTR_BASSOLRST.20;Text;20 °C;20 °C
ENUM_PAT_RTR_BASSOLRST.21;Text;21 °C;21 °C
ENUM_PAT_RTR_BASSOLRST.22;Text;22 °C;22 °C
ENUM_PAT_RTR_BASSOLRST.23;Text;23 °C;23 °C
ENUM_PAT_RTR_BASSOLRST.24;Text;24 °C;24 °C
ENUM_PAT_RTR_BASSOLRST.25;Text;25 °C;25 °C
ENUM_PAT_RTR_MINBASSOL.5;Text;5 °C;5 °C
ENUM_PAT_RTR_MINBASSOL.6;Text;6 °C;6 °C
ENUM_PAT_RTR_MINBASSOL.7;Text;7 °C;7 °C
ENUM_PAT_RTR_MINBASSOL.8;Text;8 °C;8 °C
ENUM_PAT_RTR_MINBASSOL.9;Text;9 °C;9 °C
ENUM_PAT_RTR_MINBASSOL.10;Text;10 °C;10 °C
ENUM_PAT_RTR_MINBASSOL.11;Text;11 °C;11 °C
ENUM_PAT_RTR_MINBASSOL.12;Text;12 °C;12 °C
ENUM_PAT_RTR_MINBASSOL.13;Text;13 °C;13 °C
ENUM_PAT_RTR_MINBASSOL.14;Text;14 °C;14 °C
ENUM_PAT_RTR_MINBASSOL.15;Text;15 °C;15 °C
ENUM_PAT_RTR_MINBASSOL.16;Text;16 °C;16 °C
ENUM_PAT_RTR_MINBASSOL.17;Text;17 °C;17 °C
ENUM_PAT_RTR_MINBASSOL.18;Text;18 °C;18 °C
ENUM_PAT_RTR_MINBASSOL.19;Text;19 °C;19 °C
ENUM_PAT_RTR_MINBASSOL.20;Text;20 °C;20 °C
ENUM_PAT_RTR_MAXBASSOL.17;Text;17 °C;17 °C
ENUM_PAT_RTR_MAXBASSOL.18;Text;18 °C;18 °C
ENUM_PAT_RTR_MAXBASSOL.19;Text;19 °C;19 °C
ENUM_PAT_RTR_MAXBASSOL.20;Text;20 °C;20 °C
ENUM_PAT_RTR_MAXBASSOL.21;Text;21 °C;21 °C
ENUM_PAT_RTR_MAXBASSOL.22;Text;22 °C;22 °C
ENUM_PAT_RTR_MAXBASSOL.23;Text;23 °C;23 °C
ENUM_PAT_RTR_MAXBASSOL.24;Text;24 °C;24 °C
ENUM_PAT_RTR_MAXBASSOL.25;Text;25 °C;25 °C
ENUM_PAT_RTR_MAXBASSOL.26;Text;26 °C;26 °C
ENUM_PAT_RTR_MAXBASSOL.27;Text;27 °C;27 °C
ENUM_PAT_RTR_MAXBASSOL.28;Text;28 °C;28 °C
ENUM_PAT_RTR_MAXBASSOL.29;Text;29 °C;29 °C
ENUM_PAT_RTR_MAXBASSOL.30;Text;30 °C;30 °C
ENUM_PAT_RTR_MAXBASSOL.31;Text;31 °C;31 °C
ENUM_PAT_RTR_MAXBASSOL.32;Text;32 °C;32 °C
ENUM_PAT_RTR_MAXSOLVERSCH.1;Text;+/- 1 K;+/- 1 K
ENUM_PAT_RTR_MAXSOLVERSCH.2;Text;+/- 2 K;+/- 2 K
ENUM_PAT_RTR_MAXSOLVERSCH.3;Text;+/- 3 K;+/- 3 K
ENUM_PAT_RTR_MAXSOLVERSCH.4;Text;+/- 4 K;+/- 4 K
ENUM_PAT_RTR_MAXSOLVERSCH.5;Text;+/- 5 K;+/- 5 K
ENUM_PAT_RTR_NACHTABSH.3;Text;3 K;3 K
ENUM_PAT_RTR_NACHTABSH.4;Text;4 K;4 K
ENUM_PAT_RTR_NACHTABSH.5;Text;5 K;5 K
ENUM_PAT_RTR_NACHTABSH.6;Text;6 K;6 K
ENUM_PAT_RTR_NACHTABSH.7;Text;7 K;7 K
ENUM_PAT_RTR_NACHTABSH.8;Text;8 K;8 K
ENUM_PAT_RTR_SOLFROST.3;Text;3 °C;3 °C
ENUM_PAT_RTR_SOLFROST.4;Text;4 °C;4 °C
ENUM_PAT_RTR_SOLFROST.5;Text;5 °C;5 °C
ENUM_PAT_RTR_SOLFROST.6;Text;6 °C;6 °C
ENUM_PAT_RTR_SOLFROST.7;Text;7 °C;7 °C
ENUM_PAT_RTR_SOLFROST.8;Text;8 °C;8 °C
ENUM_PAT_RTR_SOLFROST.9;Text;9 °C;9 °C
ENUM_PAT_RTR_SOLFROST.10;Text;10 °C;10 °C
ENUM_PAT_RTR_FUSSTMAX.24;Text;24 °C;24 °C
ENUM_PAT_RTR_FUSSTMAX.26;Text;26 °C;26 °C
ENUM_PAT_RTR_FUSSTMAX.28;Text;28 °C;28 °C
ENUM_PAT_RTR_FUSSTMAX.30;Text;30 °C;30 °C
ENUM_PAT_RTR_FUSSTMAX.32;Text;32 °C;32 °C
ENUM_PAT_RTR_FUSSTMAX.34;Text;34 °C;34 °C
ENUM_PAT_RTR_FUSSTMAX.36;Text;36 °C;36 °C
ENUM_PAT_RTR_FUSSTMAX.38;Text;38 °C;38 °C
ENUM_PAT_RTR_FUSSTMAX.40;Text;40 °C;40 °C
ENUM_PAT_RTR_NACHTANHK.3;Text;3 K;3 K
ENUM_PAT_RTR_NACHTANHK.4;Text;4 K;4 K
ENUM_PAT_RTR_NACHTANHK.5;Text;5 K;5 K
ENUM_PAT_RTR_NACHTANHK.6;Text;6 K;6 K
ENUM_PAT_RTR_NACHTANHK.7;Text;7 K;7 K
ENUM_PAT_RTR_NACHTANHK.8;Text;8 K;8 K
ENUM_PAT_RTR_SOLHITZ.NEIN;Text;42 °C d.h. quasi kein Hitzeschutz;42 °C d.h. quasi kein Hitzeschutz
ENUM_PAT_RTR_SOLHITZ.29;Text;29 °C;29 °C
ENUM_PAT_RTR_SOLHITZ.30;Text;30 °C;30 °C
ENUM_PAT_RTR_SOLHITZ.31;Text;31 °C;31 °C
ENUM_PAT_RTR_SOLHITZ.32;Text;32 °C;32 °C
ENUM_PAT_RTR_SOLHITZ.33;Text;33 °C;33 °C
ENUM_PAT_RTR_SOLHITZ.34;Text;34 °C;34 °C
ENUM_PAT_RTR_SOLHITZ.35;Text;35 °C;35 °C
ENUM_PAT_RTR_STBYABSH.0;Text;0 K;0 K
ENUM_PAT_RTR_STBYABSH.0_5;Text;0,5 K;0,5 K
ENUM_PAT_RTR_STBYABSH.1;Text;1 K;1 K
ENUM_PAT_RTR_STBYABSH.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_STBYABSH.2;Text;2 K;2 K
ENUM_PAT_RTR_STBYABSH.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_STBYABSH.3;Text;3 K;3 K
ENUM_PAT_RTR_STBYABSH.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_STBYABSH.4;Text;4 K;4 K
ENUM_PAT_RTR_STBYABSH.4_5;Text;4,5 K;4,5 K
ENUM_PAT_RTR_STBYABSH.5;Text;5 K;5 K
ENUM_PAT_RTR_AKTSOLKOMF.WERT;Text;Tatsächlicher Wert (Heizen <> Kühlen);Tatsächlicher Wert (Heizen <> Kühlen)
ENUM_PAT_RTR_AKTSOLKOMF.MITTEL;Text;Mittelwert zw. Heizen und Kühlen;Mittelwert zw. Heizen und Kühlen
ENUM_PAT_RTR_TOTZO2RO.0;Text;0 K;0 K
ENUM_PAT_RTR_TOTZO2RO.0_5;Text;0,5 K;0,5 K
ENUM_PAT_RTR_TOTZO2RO.1;Text;1 K;1 K
ENUM_PAT_RTR_TOTZO2RO.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_TOTZO2RO.2;Text;2 K;2 K
ENUM_PAT_RTR_TOTZO2RO.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_TOTZO2RO.3;Text;3 K;3 K
ENUM_PAT_RTR_TOTZO2RO.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_TOTZO2RO.4;Text;4 K;4 K
ENUM_PAT_RTR_TOTZO2RO.4_5;Text;4,5 K;4,5 K
ENUM_PAT_RTR_TOTZO2RO.5;Text;5 K;5 K
ENUM_PAT_RTR_TOTZO2RO.5_5;Text;5,5 K;5,5 K
ENUM_PAT_RTR_TOTZO2RO.6;Text;6 K;6 K
ENUM_PAT_RTR_TOTZO4RO.1;Text;1 K;1 K
ENUM_PAT_RTR_TOTZO4RO.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_TOTZO4RO.2;Text;2 K;2 K
ENUM_PAT_RTR_TOTZO4RO.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_TOTZO4RO.3;Text;3 K;3 K
ENUM_PAT_RTR_TOTZO4RO.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_TOTZO4RO.4;Text;4 K;4 K
ENUM_PAT_RTR_TOTZO4RO.4_5;Text;4,5 K;4,5 K
ENUM_PAT_RTR_TOTZO4RO.5;Text;5 K;5 K
ENUM_PAT_RTR_TOTZO4RO.5_5;Text;5,5 K;5,5 K
ENUM_PAT_RTR_TOTZO4RO.6;Text;6 K;6 K
ENUM_PAT_RTR_STBYANHK.0;Text;0 K;0 K
ENUM_PAT_RTR_STBYANHK.0_5;Text;0,5 K;0,5 K
ENUM_PAT_RTR_STBYANHK.1;Text;1 K;1 K
ENUM_PAT_RTR_STBYANHK.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_STBYANHK.2;Text;2 K;2 K
ENUM_PAT_RTR_STBYANHK.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_STBYANHK.3;Text;3 K;3 K
ENUM_PAT_RTR_STBYANHK.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_STBYANHK.4;Text;4 K;4 K
ENUM_PAT_RTR_STBYANHK.4_5;Text;4,5 K;4,5 K
ENUM_PAT_RTR_STBYANHK.5;Text;5 K;5 K
ENUM_PAT_RTR_SOLANPAB.25;Text;25 °C;25 °C
ENUM_PAT_RTR_SOLANPAB.26;Text;26 °C;26 °C
ENUM_PAT_RTR_SOLANPAB.27;Text;27 °C;27 °C
ENUM_PAT_RTR_SOLANPAB.28;Text;28 °C;28 °C
ENUM_PAT_RTR_SOLANPAB.29;Text;29 °C;29 °C
ENUM_PAT_RTR_SOLANPAB.30;Text;30 °C;30 °C
ENUM_PAT_RTR_SOLANPAB.31;Text;31 °C;31 °C
ENUM_PAT_RTR_SOLANPAB.32;Text;32 °C;32 °C
ENUM_PAT_RTR_SOLANPAB.33;Text;33 °C;33 °C
ENUM_PAT_RTR_SOLANPAB.34;Text;34 °C;34 °C
ENUM_PAT_RTR_SOLANPAB.35;Text;35 °C;35 °C
ENUM_PAT_RTR_SOLANPAB.36;Text;36 °C;36 °C
ENUM_PAT_RTR_SOLANPAB.37;Text;37 °C;37 °C
ENUM_PAT_RTR_SOLANPAB.38;Text;38 °C;38 °C
ENUM_PAT_RTR_SOLANPAB.39;Text;39 °C;39 °C
ENUM_PAT_RTR_SOLANPAB.40;Text;40 °C;40 °C
ENUM_PAT_RTR_SOLANP.1;Text;1 K pro 1 K Außentemperatur;1 K pro 1 K Außentemperatur
ENUM_PAT_RTR_SOLANP.2;Text;1 K pro 2 K Außentemperatur;1 K pro 2 K Außentemperatur
ENUM_PAT_RTR_SOLANP.3;Text;1 K pro 3 K Außentemperatur;1 K pro 3 K Außentemperatur
ENUM_PAT_RTR_SOLANP.4;Text;1 K pro 4 K Außentemperatur;1 K pro 4 K Außentemperatur
ENUM_PAT_RTR_SOLANP.5;Text;1 K pro 5 K Außentemperatur;1 K pro 5 K Außentemperatur
ENUM_PAT_RTR_SOLANP.6;Text;1 K pro 6 K Außentemperatur;1 K pro 6 K Außentemperatur
ENUM_PAT_RTR_SOLANP.7;Text;1 K pro 7 K Außentemperatur;1 K pro 7 K Außentemperatur
ENUM_PAT_RTR_BASSOLANP.15;Text;15 °C;15 °C
ENUM_PAT_RTR_BASSOLANP.16;Text;16 °C;16 °C
ENUM_PAT_RTR_BASSOLANP.17;Text;17 °C;17 °C
ENUM_PAT_RTR_BASSOLANP.18;Text;18 °C;18 °C
ENUM_PAT_RTR_BASSOLANP.19;Text;19 °C;19 °C
ENUM_PAT_RTR_BASSOLANP.20;Text;20 °C;20 °C
ENUM_PAT_RTR_BASSOLANP.21;Text;21 °C;21 °C
ENUM_PAT_RTR_BASSOLANP.22;Text;22 °C;22 °C
ENUM_PAT_RTR_BASSOLANP.23;Text;23 °C;23 °C
ENUM_PAT_RTR_BASSOLANP.24;Text;24 °C;24 °C
ENUM_PAT_RTR_BASSOLANP.25;Text;25 °C;25 °C
ENUM_PAT_RTR_BASSOLANP.26;Text;26 °C;26 °C
ENUM_PAT_RTR_BASSOLANP.27;Text;27 °C;27 °C
ENUM_PAT_RTR_BASSOLANP.28;Text;28 °C;28 °C
ENUM_PAT_RTR_BASSOLANP.29;Text;29 °C;29 °C
ENUM_PAT_RTR_BASSOLANP.30;Text;30 °C;30 °C
ENUM_PAT_RTR_FORMTSOLANP.REL;Text;relativ;relativ
ENUM_PAT_RTR_FORMTSOLANP.ABS;Text;absolut;absolut
ENUM_PAT_RTR_MAXANP.NEIN;Text;Unbegrenzt;Unbegrenzt
ENUM_PAT_RTR_MAXANP.3;Text;+3 K;+3 K
ENUM_PAT_RTR_MAXANP.5;Text;+5 K;+5 K
ENUM_PAT_RTR_MAXANP.7;Text;+7 K;+7 K
ENUM_PAT_RTR_MAXANPEMPF.NEIN;Text;bis Hitzeschutztemperatur erreicht;bis Hitzeschutztemperatur erreicht
ENUM_PAT_RTR_MAXANPEMPF.3;Text;+3 K;+3 K
ENUM_PAT_RTR_MAXANPEMPF.5;Text;+5 K;+5 K
ENUM_PAT_RTR_MAXANPEMPF.7;Text;+7 K;+7 K
ENUM_PAT_RTR_SOLANPASS.NEIN;Text;Keine;Keine
ENUM_PAT_RTR_SOLANPASS.EMPF;Text;Nur empfangen;Nur empfangen
ENUM_PAT_RTR_SOLANPASS.INTERN;Text;Intern berechnen und senden;Intern berechnen und senden
ENUM_PAT_RTR_ANZHSTUF.EINE;Text;Nur eine Heizstufe;Nur eine Heizstufe
ENUM_PAT_RTR_ANZHSTUF.ZWEI;Text;Hauptstufe und Zusatzstufe;Hauptstufe und Zusatzstufe
ENUM_PAT_RTR_HYS2PKT.0_3;Text;0,3 K;0,3 K
ENUM_PAT_RTR_HYS2PKT.0_5;Text;0,5 K;0,5 K
ENUM_PAT_RTR_HYS2PKT.0_7;Text;0,7K;0,7K
ENUM_PAT_RTR_HYS2PKT.1;Text;1 K;1 K
ENUM_PAT_RTR_HYS2PKT.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_RCKFHYST.NEIN;Text;Keine;Keine
ENUM_PAT_RTR_RCKFHYST.1;Text;0,1 K/min;0,1 K/min
ENUM_PAT_RTR_RCKFHYST.2;Text;0,2 K/min;0,2 K/min
ENUM_PAT_RTR_RCKFHYST.3;Text;0,3 K/min;0,3 K/min
ENUM_PAT_RTR_REGPARAM.ANL;Text;Über Anlagentyp;Über Anlagentyp
ENUM_PAT_RTR_REGPARAM.USER;Text;benutzerdefiniert;benutzerdefiniert
ENUM_PAT_RTR_PBAND.1;Text;1 K;1 K
ENUM_PAT_RTR_PBAND.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_PBAND.2;Text;2 K;2 K
ENUM_PAT_RTR_PBAND.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_PBAND.3;Text;3 K;3 K
ENUM_PAT_RTR_PBAND.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_PBAND.4;Text;4 K;4 K
ENUM_PAT_RTR_PBAND.4_5;Text;4,5 K;4,5 K
ENUM_PAT_RTR_PBAND.5;Text;5 K;5 K
ENUM_PAT_RTR_PBAND.5_5;Text;5,5 K;5,5 K
ENUM_PAT_RTR_PBAND.6;Text;6 K;6 K
ENUM_PAT_RTR_PBAND.6_5;Text;6,5 K;6,5 K
ENUM_PAT_RTR_PBAND.7;Text;7 K;7 K
ENUM_PAT_RTR_PBAND.7_5;Text;7,5 K;7,5 K
ENUM_PAT_RTR_PBAND.8;Text;8 K;8 K
ENUM_PAT_RTR_PBAND.8_5;Text;8,5 K;8,5 K
ENUM_PAT_RTR_IZEIT.PREGLER;Text;reiner P-Regler;reiner P-Regler
ENUM_PAT_RTR_IZEIT.30MIN.;Text;30 min.;30 min.
ENUM_PAT_RTR_IZEIT.60MIN.;Text;60 min.;60 min.
ENUM_PAT_RTR_IZEIT.90MIN.;Text;90 min.;90 min.
ENUM_PAT_RTR_IZEIT.120MIN.;Text;120 min.;120 min.
ENUM_PAT_RTR_IZEIT.150MIN.;Text;150 min.;150 min.
ENUM_PAT_RTR_IZEIT.180MIN.;Text;180 min.;180 min.
ENUM_PAT_RTR_IZEIT.210MIN.;Text;210 min.;210 min.
ENUM_PAT_RTR_IZEIT.4H;Text;4 h;4 h
ENUM_PAT_RTR_IZEIT.5H;Text;5 h;5 h
ENUM_PAT_RTR_IZEIT.10H;Text;10 h;10 h
ENUM_PAT_RTR_IZEIT.15H;Text;15 h;15 h
ENUM_PAT_RTR_IZEIT.20H;Text;20 h;20 h
ENUM_PAT_RTR_IZEIT.25H;Text;25 h;25 h
ENUM_PAT_RTR_IZEIT.30H;Text;30 h;30 h
ENUM_PAT_RTR_IZEIT.35H;Text;35 h;35 h
ENUM_PAT_RTR_ANLTYPH.RADI;Text;Radiatorenheizung;Radiatorenheizung
